,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-01-01,1.2539814892,7.8145584925,,49.8582506462,6.2077044943,258.7592762445,21.2915867589,0.7397898774,3.8843492037,8.2079546402,13540.4986241974,63.8751771867,3.3126823981,57.8604185775,6.2036187776,112.5740015009,32.6198615859,0.9757358459,0.8338197282,4.0470274327,1.6307846244,3.7908780122,6.5074626866,8.2050362712,1.404986242,12.3450346035,1.0,19.7291753523,1.3361127324,1.2795797549,3.4716084383,1066.9640623697,3.4828650046
2018-01-02,1.2538748446,7.8145876502,,49.8400331538,6.1696643183,255.772896809,21.1305428927,0.7372813925,3.8561956071,8.1461251554,13481.9975134687,63.4898466639,3.2742644012,57.2876916701,6.1864898467,112.1840033154,32.4202237878,0.9712391214,0.828843763,4.0194778284,1.6210526316,3.7579776212,6.4929962702,8.1017820141,1.4053046001,12.349772068,1.0,19.5220886863,1.3287194364,1.2774968918,3.4556983009,1062.23787816,3.4507252383
2018-01-03,1.251517924,7.8171005573,,49.8943691258,6.191632704,257.2486068369,21.2467770107,0.7372535973,3.8555269068,8.1718373118,13455.0029110871,63.4995425435,3.2634117941,57.470015803,6.1889711387,112.2598353156,32.5293188056,0.9761290859,0.8317391666,4.014971305,1.626715462,3.7680279464,6.5015387175,8.1044664393,1.409132496,12.3800216252,1.0,19.4489728021,1.3297845796,1.2758047076,3.459036846,1065.7822506862,3.4643599767
2018-01-04,1.2527144633,7.8179030253,,49.7820140903,6.1706589308,255.7231661832,21.1479486117,0.7385246581,3.8367177787,8.1409034397,13420.0,63.4048901782,3.2374637381,57.1331951927,6.1628677994,112.6564442603,32.2196435972,0.9749689184,0.828843763,4.0120182346,1.6210526316,3.7602154994,6.496477414,8.0940737671,1.4054703688,12.3062577704,1.0,19.329962702,1.3297140489,1.2762536262,3.4461665976,1063.5225859925,3.4442602569
2018-01-05,1.2509755085,7.8196762142,,49.8671647987,6.1817351598,256.3470319635,21.2486508925,0.73792445,3.8481527605,8.1625570776,13420.0,63.3698630137,3.2425902864,57.096222499,6.1726857617,113.2835201328,32.1901203819,0.9760896638,0.8302200083,4.0,1.6237442922,3.7465338315,6.4882523869,8.0878372769,1.397841428,12.3608136156,1.0,19.3662930677,1.3277708593,1.2753009548,3.4372768784,1063.6778746368,3.4498962225
2018-01-06,1.2509755085,7.8196762142,,49.8671647987,6.1817351598,256.3470319635,21.2486508925,0.73792445,3.8481527605,8.1625570776,13420.0,63.3698630137,3.2425902864,57.096222499,6.1726857617,113.2835201328,32.1901203819,0.9760896638,0.8302200083,4.0,1.6237442922,3.7465338315,6.4882523869,8.0878372769,1.397841428,12.3608136156,1.0,19.3662930677,1.3277708593,1.2753009548,3.4372768784,1063.6778746368,3.4498962225
2018-01-07,1.2509755085,7.8196762142,,49.8671647987,6.1817351598,256.3470319635,21.2486508925,0.73792445,3.8481527605,8.1625570776,13420.0,63.3698630137,3.2425902864,57.096222499,6.1726857617,113.2835201328,32.1901203819,0.9760896638,0.8302200083,4.0,1.6237442922,3.7465338315,6.4882523869,8.0878372769,1.397841428,12.3608136156,1.0,19.3662930677,1.3277708593,1.2753009548,3.4372768784,1063.6778746368,3.4498962225
2018-01-08,1.2427962917,7.8222667669,,50.1920988892,6.2195773824,257.9470475236,21.3179654222,0.7384364821,3.8591831621,8.1988641109,13434.2520671511,63.5074751524,3.2427127704,57.1096634093,6.2156518834,113.0376680865,32.209972438,0.9779503884,0.8352125616,4.0030902865,1.633508728,3.7490186252,6.4992900693,8.0834377349,1.3949720204,12.4383195523,1.0,19.2782928255,1.3326651633,1.2769564854,3.4416604026,1067.2930760879,3.4797460954
2018-01-09,1.242541066,7.8212370097,,50.2799195441,6.2411163258,259.2691920885,21.4004358029,0.7397753939,3.8995977204,8.2373449547,13441.9963124371,63.712286289,3.2325678847,57.0344451894,6.2416191753,112.562856185,32.2502514247,0.9828193094,0.8380824673,4.0094703319,1.6391216896,3.7582132082,6.5257291317,8.1055145826,1.391300704,12.3483070734,1.0,19.2181528662,1.3352329869,1.2774052967,3.4441837077,1068.3959101576,3.5027656721
2018-01-10,1.2450800534,7.8226317545,,50.5537024683,6.2098899266,258.4389593062,21.3225483656,0.7394096064,3.8688292195,8.181287525,13430.5036691127,63.5948965977,3.2481654436,57.0367745163,6.2118912608,111.4242828552,32.1097398266,0.9777351568,0.8338892595,4.0030020013,1.6309206137,3.7981987992,6.5040026684,8.0426951301,1.3887591728,12.4427951968,1.0,19.2878585724,1.3326384256,1.2749332889,3.4297031354,1068.1704469646,3.4868245497
